FID,ID,Lat,Lon
206,630053,31.1577,-98.4725
207,630051,31.0167,-98.7221
208,610723,40.85,-96.6
209,610721,42.0667,-101.4333
210,610718,42.7333,-102.1667
211,610712,40.5667,-98.1333
212,610710,41.15,-97.9667
213,600500,35.1428,-93.895
214,600457,34.63,-84.0975
215,600353,25.9167,-81.2833
216,600352,26.2483,-81.2967
217,600164,44.1917,-103.5097
218,600162,43.3181,-101.1444
219,600121,29.9729,-94.9855
220,600082,30.0244,-95.4764
221,600041,38.8272,-106.2111
222,600026,38.8417,-107.7361
223,600023,39.7667,-108.3167
224,600022,29.6345,-95.1123
225,600019,29.5845,-95.1869
226,600013,37.2269,-107.3047
227,600011,29.4977,-95.1599
228,590042,37.9061,-91.6908
229,590014,37.3906,-90.3281
230,550412,40.2078,-105.5686
231,486597,41.3167,-108.9167
232,486555,41.2708,-110.3306
233,483100,41.265,-110.95
234,482175,41.7333,-107.7333
235,479304,45.8833,-91.07
236,479218,44.7314,-90.7217
237,478963,44.8667,-89.65
238,478589,43.9994,-91.4378
239,478259,44.4964,-91.3964
240,478164,43.1342,-90.8372
241,478163,43.1833,-90.8667
242,478027,45.8236,-91.8761
243,476859,45.5447,-90.3017
244,476510,45.0281,-87.7356
245,475948,45.1167,-92.5639
246,475524,46.1006,-91.8178
247,475479,42.955,-87.9044
248,475352,46.1683,-90.0722
249,475335,44.8742,-91.9364
250,475120,44.6322,-90.1314
251,474961,43.1406,-89.3453
252,474937,43.2111,-91.0992
253,474894,45.5733,-92.485
254,474821,43.2,-90.1833
255,473756,43.4406,-88.6325
256,473654,43.6542,-90.3339
257,473636,45.6811,-88.9603
258,473453,43.3311,-88.4114
259,473269,44.4794,-88.1378
260,473038,43.5706,-91.2294
261,472745,43,-90.65
262,472507,43.8,-88.6333
263,472447,44.7247,-89.7567
264,472302,42.8667,-88.5167
265,471913,42.6253,-90.4592
266,471897,45.3575,-88.1919
267,471708,44.3667,-89.5333
268,471578,44.9278,-91.4081
269,471416,43.0603,-89.4781
270,470890,42.8169,-89.8628
271,470855,44.2903,-90.8539
272,470735,43.9667,-88.95
273,470456,44.2994,-90.1306
274,470349,46.5831,-90.9678
275,470308,43.3008,-89.3269
276,470124,44.3272,-91.9194
277,469333,38.4833,-80.4167
278,469086,38.5453,-80.0369
279,469011,37.5436,-80.5336
280,468986,39.3139,-80.03
281,468924,38.7,-81.85
282,468777,39.4467,-79.5469
283,467730,39.3389,-78.7728
284,466859,39.2811,-81.5572
285,466163,39.0461,-78.9664
286,465712,39.4667,-78
287,465672,38.2175,-80.0914
288,465353,37.8611,-81.9961
289,465341,38.8531,-80.9669
290,465002,39.72,-79.8561
291,464763,39.3833,-77.8833
292,464393,38.365,-82.555
293,464388,38.4167,-82.45
294,464369,39.7,-80.4667
295,463816,39.05,-80.1167
296,463749,38.2381,-81.9853
297,463238,39.1303,-80.4506
298,463215,38.6756,-79.3092
299,463072,37.5894,-81.0925
300,462718,38.8853,-79.8528
301,462462,37.8594,-81.465
302,462209,39.1333,-79.4667
303,461959,38.4864,-81.2711
304,461677,39.2692,-80.3528
305,461570,38.3794,-81.5914
306,461393,39.05,-79.4167
307,460582,37.7836,-81.1231
308,449301,36.9317,-81.0942
309,449272,36.7817,-80.2689
310,449151,37.3017,-76.7039
311,449060,37.1833,-80.8167
312,448906,38.8483,-77.0342
313,448547,36.66,-81.4053
314,448396,38.8956,-77.7547
315,448046,39.0858,-78.4442
316,447285,37.3169,-79.9742
317,447201,37.505,-77.3203
